Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Arrivals (Tonnes),Price Date
1,Vellore,vellore_arakkonam,Onion,Local,FAQ,2107,2690,2373,260.25,01 Apr 2025
2,Vellore,vellore_gudiyatham,Onion,Local,FAQ,2119,2633,2408,176.85,01 Apr 2025
3,Vellore,vellore_market,Onion,Local,FAQ,2724,3370,3077,106.04,01 Apr 2025
4,Vellore,vellore_vaniyambadi,Onion,Local,FAQ,2147,2615,2344,175.28,01 Apr 2025
5,Vellore,vellore_arakkonam,Onion,Local,FAQ,2485,3092,2734,186.63,01 Apr 2026
6,Vellore,vellore_gudiyatham,Onion,Local,FAQ,2380,3064,2730,122.75,01 Apr 2026
7,Vellore,vellore_market,Onion,Local,FAQ,2001,2452,2197,239.81,01 Apr 2026
8,Vellore,vellore_vaniyambadi,Onion,Local,FAQ,2335,2820,2625,120.07,01 Apr 2026
9,Vellore,vellore_arakkonam,Onion,Local,FAQ,1846,2328,2059,118.1,01 Aug 2025
10,Vellore,vellore_gudiyatham,Onion,Local,FAQ,1470,1897,1650,112.39,01 Aug 2025
11,Vellore,vellore_market,Onion,Local,FAQ,1505,1981,1733,122.61,01 Aug 2025
12,Vellore,vellore_vaniyambadi,Onion,Local,FAQ,1685,2149,1918,71.41,01 Aug 2025
13,Vellore,vellore_arakkonam,Onion,Local,FAQ,1637,2139,1900,136.48,01 Aug 2026
14,Vellore,vellore_gudiyatham,Onion,Local,FAQ,1428,1693,1564,120.55,01 Aug 2026
15,Vellore,vellore_market,Onion,Local,FAQ,1447,1731,1579,173.28,01 Aug 2026
16,Vellore,vellore_vaniyambadi,Onion,Local,FAQ,1866,2242,2044,74.81,01 Aug 2026
17,Vellore,vellore_arakkonam,Onion,Local,FAQ,2012,2465,2264,206.63,01 Dec 2025
18,Vellore,vellore_gudiyatham,Onion,Local,FAQ,2069,2642,2305,139.11,01 Dec 2025
19,Vellore,vellore_market,Onion,Local,FAQ,1810,2286,2080,187.55,01 Dec 2025
20,Vellore,vellore_vaniyambadi,Onion,Local,FAQ,2188,2660,2367,113.3,01 Dec 2025
21,Vellore,vellore_arakkonam,Onion,Local,FAQ,2722,3260,2962,212.79,01 Feb 2025
22,Vellore,vellore_gudiyatham,Onion,Local,FAQ,2157,2534,2335,225.07,01 Feb 2025
23,Vellore,vellore_market,Onion,Local,FAQ,2228,2736,2455,229.32,01 Feb 2025
24,Vellore,vellore_vaniyambadi,Onion,Local,FAQ,2988,3693,3261,85.84,01 Feb 2025
25,Vellore,vellore_arakkonam,Onion,Local,FAQ,2396,3033,2746,184.3,01 Feb 2026
26,Vellore,vellore_gudiyatham,Onion,Local,FAQ,2511,3085,2818,151.37,01 Feb 2026
27,Vellore,vellore_market,Onion,Local,FAQ,2110,2604,2361,233.06,01 Feb 2026
28,Vellore,vellore_vaniyambadi,Onion,Local,FAQ,2353,2920,2555,147.49,01 Feb 2026
29,Vellore,vellore_arakkonam,Onion,Local,FAQ,2197,2848,2549,186.7,01 Jan 2025
30,Vellore,vellore_gudiyatham,Onion,Local,FAQ,2184,2698,2444,162.24,01 Jan 2025
31,Vellore,vellore_market,Onion,Local,FAQ,2008,2600,2268,208.18,01 Jan 2025
32,Vellore,vellore_vaniyambadi,Onion,Local,FAQ,2173,2695,2427,145.73,01 Jan 2025
33,Vellore,vellore_arakkonam,Onion,Local,FAQ,3071,3646,3349,138.12,01 Jan 2026
34,Vellore,vellore_gudiyatham,Onion,Local,FAQ,2133,2706,2378,178.33,01 Jan 2026
35,Vellore,vellore_market,Onion,Local,FAQ,2155,2646,2362,191.2,01 Jan 2026
