Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Arrivals (Tonnes),Price Date
1,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2618,3182,2953,89.56,01 Apr 2025
2,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1835,2287,2118,176.8,01 Apr 2025
3,Vellore,vellore_market,Tomato,Local,FAQ,2199,2676,2476,99.56,01 Apr 2025
4,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,2150,2667,2391,121.14,01 Apr 2025
5,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2295,2928,2620,110.65,01 Apr 2026
6,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1876,2320,2119,150.06,01 Apr 2026
7,Vellore,vellore_market,Tomato,Local,FAQ,2161,2866,2506,83.08,01 Apr 2026
8,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,2234,2806,2548,124.06,01 Apr 2026
9,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1302,1676,1475,79.85,01 Aug 2025
10,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1199,1472,1368,81.02,01 Aug 2025
11,Vellore,vellore_market,Tomato,Local,FAQ,1313,1671,1469,56.56,01 Aug 2025
12,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1097,1327,1211,97.25,01 Aug 2025
13,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1560,1972,1785,52.82,01 Aug 2026
14,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1341,1665,1463,71.45,01 Aug 2026
15,Vellore,vellore_market,Tomato,Local,FAQ,1486,1832,1623,49.92,01 Aug 2026
16,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1676,2221,1933,70.28,01 Aug 2026
17,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1284,1535,1383,180.16,01 Dec 2025
18,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1520,1848,1663,144.88,01 Dec 2025
19,Vellore,vellore_market,Tomato,Local,FAQ,1602,1978,1803,106.86,01 Dec 2025
20,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1607,1968,1824,120.79,01 Dec 2025
21,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1889,2362,2139,159.21,01 Feb 2025
22,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1741,2255,2019,193.01,01 Feb 2025
23,Vellore,vellore_market,Tomato,Local,FAQ,2007,2467,2258,124.79,01 Feb 2025
24,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1824,2135,1982,176.64,01 Feb 2025
25,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2089,2687,2373,110.15,01 Feb 2026
26,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1766,2257,2043,155.06,01 Feb 2026
