Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
16/06/2026,Paddy(Common),2,Vellore,Local,Ambur APMC,2100,1900,2000.0,Tamil Nadu,Other
30/07/2026,Paddy(Common),2,Vellore,Local,Ambur APMC,2100,1900,2000.0,Tamil Nadu,Other
03/07/2026,Paddy(Common),2,Vellore,Local,Ambur APMC,1650,1550,1600.0,Tamil Nadu,Other
15/07/2026,Paddy(Common),2,Vellore,Local,Ambur APMC,1700,1500,1600.0,Tamil Nadu,Other
15/06/2026,Paddy(Common),2,Vellore,Local,Ambur APMC,2100,1900,2000.0,Tamil Nadu,Other
05/08/2026,Paddy(Common),2,Vellore,Local,Ambur APMC,2100,1900,2000.0,Tamil Nadu,Other
17/08/2026,Paddy(Common),2,Vellore,Local,Ambur APMC,2100,1900,2000.0,Tamil Nadu,Other
30/06/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3106,1785,2445.5,Tamil Nadu,Other
03/07/2026,Ragi(Finger Millet),30,Vellore,Local,Ammoor APMC,4300,4300,4300.0,Tamil Nadu,Other
08/07/2026,Ragi(Finger Millet),30,Vellore,Local,Ammoor APMC,3600,3600,3600.0,Tamil Nadu,Other
13/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3280,2534,2907.0,Tamil Nadu,Other
17/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3529,2372,2950.5,Tamil Nadu,Other
22/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3558,2678,3118.0,Tamil Nadu,Other
30/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3772,2501,3136.5,Tamil Nadu,Other
28/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3734,1508,2621.0,Tamil Nadu,Other
10/08/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3749,1532,2640.5,Tamil Nadu,Other
14/08/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3758,1333,2545.5,Tamil Nadu,Other
19/06/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3226,2278,2752.0,Tamil Nadu,Other
15/06/2026,Ragi(Finger Millet),30,Vellore,Local,Ammoor APMC,3200,3200,3200.0,Tamil Nadu,Other
25/06/2026,Ragi(Finger Millet),30,Vellore,Local,Ammoor APMC,3000,3000,3000.0,Tamil Nadu,Other
01/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3082,2077,2579.5,Tamil Nadu,Other
03/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3337,2177,2757.0,Tamil Nadu,Other
07/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3306,2358,2832.0,Tamil Nadu,Other
08/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3373,2414,2893.5,Tamil Nadu,Other
09/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3357,1612,2484.5,Tamil Nadu,Other
14/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3432,1377,2404.5,Tamil Nadu,Other
21/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3381,2306,2843.5,Tamil Nadu,Other
24/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3612,2885,3248.5,Tamil Nadu,Other
13/08/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3612,1509,2560.5,Tamil Nadu,Other
22/06/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3252,2133,2692.5,Tamil Nadu,Other
23/06/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3226,2308,2767.0,Tamil Nadu,Other
16/06/2026,Ragi(Finger Millet),30,Vellore,Local,Ammoor APMC,2900,2900,2900.0,Tamil Nadu,Other
18/06/2026,Ragi(Finger Millet),30,Vellore,Local,Ammoor APMC,3200,3200,3200.0,Tamil Nadu,Other
31/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3788,1545,2666.5,Tamil Nadu,Other
03/08/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3810,1746,2778.0,Tamil Nadu,Other
12/08/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3694,1492,2593.0,Tamil Nadu,Other
17/08/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3133,1692,2412.5,Tamil Nadu,Other
07/07/2026,Ragi(Finger Millet),30,Vellore,Local,Ammoor APMC,4000,3800,3900.0,Tamil Nadu,Other
