Date,Zone,Rate (Rs./100 eggs)
01-01-2025,Chennai,523
02-01-2025,Chennai,516
03-01-2025,Chennai,514
04-01-2025,Chennai,513
05-01-2025,Chennai,512
06-01-2025,Chennai,512
07-01-2025,Chennai,518
08-01-2025,Chennai,513
09-01-2025,Chennai,526
10-01-2025,Chennai,529
11-01-2025,Chennai,517
12-01-2025,Chennai,513
13-01-2025,Chennai,514
14-01-2025,Chennai,522
15-01-2025,Chennai,517
16-01-2025,Chennai,509
17-01-2025,Chennai,510
18-01-2025,Chennai,513
19-01-2025,Chennai,497
20-01-2025,Chennai,519
21-01-2025,Chennai,524
22-01-2025,Chennai,514
23-01-2025,Chennai,510
24-01-2025,Chennai,512
25-01-2025,Chennai,513
26-01-2025,Chennai,508
27-01-2025,Chennai,512
28-01-2025,Chennai,505
29-01-2025,Chennai,505
30-01-2025,Chennai,500
31-01-2025,Chennai,500
01-02-2025,Chennai,505
02-02-2025,Chennai,498
03-02-2025,Chennai,504
04-02-2025,Chennai,508
05-02-2025,Chennai,505
06-02-2025,Chennai,513
07-02-2025,Chennai,493
08-02-2025,Chennai,501
09-02-2025,Chennai,515
10-02-2025,Chennai,497
11-02-2025,Chennai,499
12-02-2025,Chennai,501
13-02-2025,Chennai,518
14-02-2025,Chennai,504
15-02-2025,Chennai,506
16-02-2025,Chennai,508
17-02-2025,Chennai,515
18-02-2025,Chennai,508
19-02-2025,Chennai,496
20-02-2025,Chennai,508
21-02-2025,Chennai,509
22-02-2025,Chennai,505
23-02-2025,Chennai,504
24-02-2025,Chennai,516
25-02-2025,Chennai,497
26-02-2025,Chennai,504
27-02-2025,Chennai,512
28-02-2025,Chennai,522
01-03-2025,Chennai,512
02-03-2025,Chennai,502
03-03-2025,Chennai,501
04-03-2025,Chennai,507
05-03-2025,Chennai,493
06-03-2025,Chennai,512
07-03-2025,Chennai,505
08-03-2025,Chennai,512
09-03-2025,Chennai,517
10-03-2025,Chennai,507
11-03-2025,Chennai,510
12-03-2025,Chennai,505
13-03-2025,Chennai,513
14-03-2025,Chennai,507
15-03-2025,Chennai,519
16-03-2025,Chennai,517
17-03-2025,Chennai,501
18-03-2025,Chennai,508
19-03-2025,Chennai,508
20-03-2025,Chennai,513
21-03-2025,Chennai,512
22-03-2025,Chennai,513
23-03-2025,Chennai,511
24-03-2025,Chennai,511
25-03-2025,Chennai,520
26-03-2025,Chennai,511
27-03-2025,Chennai,519
28-03-2025,Chennai,526
29-03-2025,Chennai,515
30-03-2025,Chennai,520
31-03-2025,Chennai,511
01-04-2025,Chennai,536
02-04-2025,Chennai,525
03-04-2025,Chennai,527
04-04-2025,Chennai,520
05-04-2025,Chennai,529
06-04-2025,Chennai,536
07-04-2025,Chennai,531
08-04-2025,Chennai,528
09-04-2025,Chennai,533
10-04-2025,Chennai,516
11-04-2025,Chennai,524
12-04-2025,Chennai,528
13-04-2025,Chennai,528
14-04-2025,Chennai,533
15-04-2025,Chennai,534
16-04-2025,Chennai,528
17-04-2025,Chennai,523
18-04-2025,Chennai,528
19-04-2025,Chennai,538
20-04-2025,Chennai,534
21-04-2025,Chennai,537
22-04-2025,Chennai,541
23-04-2025,Chennai,537
24-04-2025,Chennai,542
25-04-2025,Chennai,539
26-04-2025,Chennai,544
27-04-2025,Chennai,537
28-04-2025,Chennai,537
29-04-2025,Chennai,551
30-04-2025,Chennai,536
01-05-2025,Chennai,545
02-05-2025,Chennai,541
03-05-2025,Chennai,545
04-05-2025,Chennai,544
05-05-2025,Chennai,539
06-05-2025,Chennai,547
07-05-2025,Chennai,539
08-05-2025,Chennai,555
09-05-2025,Chennai,554
10-05-2025,Chennai,554
11-05-2025,Chennai,555
12-05-2025,Chennai,558
13-05-2025,Chennai,550
14-05-2025,Chennai,548
15-05-2025,Chennai,551
16-05-2025,Chennai,561
17-05-2025,Chennai,564
18-05-2025,Chennai,562
19-05-2025,Chennai,549
20-05-2025,Chennai,560
21-05-2025,Chennai,562
22-05-2025,Chennai,569
23-05-2025,Chennai,556
24-05-2025,Chennai,559
25-05-2025,Chennai,575
26-05-2025,Chennai,574
27-05-2025,Chennai,569
28-05-2025,Chennai,577
29-05-2025,Chennai,561
30-05-2025,Chennai,578
31-05-2025,Chennai,571
01-06-2025,Chennai,568
02-06-2025,Chennai,572
03-06-2025,Chennai,578
04-06-2025,Chennai,585
05-06-2025,Chennai,569
06-06-2025,Chennai,587
07-06-2025,Chennai,582
08-06-2025,Chennai,580
09-06-2025,Chennai,583
10-06-2025,Chennai,582
11-06-2025,Chennai,586
12-06-2025,Chennai,577
13-06-2025,Chennai,594
14-06-2025,Chennai,588
15-06-2025,Chennai,595
16-06-2025,Chennai,582
17-06-2025,Chennai,589
18-06-2025,Chennai,583
19-06-2025,Chennai,582
20-06-2025,Chennai,586
21-06-2025,Chennai,592
22-06-2025,Chennai,597
23-06-2025,Chennai,596
24-06-2025,Chennai,599
25-06-2025,Chennai,594
26-06-2025,Chennai,581
27-06-2025,Chennai,610
28-06-2025,Chennai,591
29-06-2025,Chennai,598
30-06-2025,Chennai,588
01-07-2025,Chennai,595
02-07-2025,Chennai,599
03-07-2025,Chennai,597
04-07-2025,Chennai,603
05-07-2025,Chennai,601
06-07-2025,Chennai,606
07-07-2025,Chennai,602
08-07-2025,Chennai,604
09-07-2025,Chennai,603
10-07-2025,Chennai,614
11-07-2025,Chennai,594
12-07-2025,Chennai,599
13-07-2025,Chennai,603
14-07-2025,Chennai,608
15-07-2025,Chennai,609
16-07-2025,Chennai,613
17-07-2025,Chennai,607
18-07-2025,Chennai,597
19-07-2025,Chennai,603
20-07-2025,Chennai,599
21-07-2025,Chennai,614
22-07-2025,Chennai,614
23-07-2025,Chennai,607
24-07-2025,Chennai,601
25-07-2025,Chennai,607
26-07-2025,Chennai,617
27-07-2025,Chennai,612
28-07-2025,Chennai,610
29-07-2025,Chennai,601
30-07-2025,Chennai,605
31-07-2025,Chennai,610
01-08-2025,Chennai,611
02-08-2025,Chennai,613
03-08-2025,Chennai,613
04-08-2025,Chennai,609
05-08-2025,Chennai,616
06-08-2025,Chennai,611
07-08-2025,Chennai,617
08-08-2025,Chennai,617
09-08-2025,Chennai,626
10-08-2025,Chennai,604
11-08-2025,Chennai,614
12-08-2025,Chennai,606
13-08-2025,Chennai,606
14-08-2025,Chennai,616
15-08-2025,Chennai,608
16-08-2025,Chennai,606
17-08-2025,Chennai,617
18-08-2025,Chennai,609
19-08-2025,Chennai,611
20-08-2025,Chennai,615
21-08-2025,Chennai,605
22-08-2025,Chennai,623
23-08-2025,Chennai,612
24-08-2025,Chennai,619
25-08-2025,Chennai,609
26-08-2025,Chennai,620
27-08-2025,Chennai,615
28-08-2025,Chennai,623
29-08-2025,Chennai,625
30-08-2025,Chennai,618
31-08-2025,Chennai,617
01-09-2025,Chennai,614
